Key,File,Type,UsedInMainMenu,NoTranslate,english


modRelicHeatsink,item_modifiers,Mod,,,"Relic: Heatsink"
relicHeatsinkBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nAttempts to absorb Burning debuffs when you are Burning."
buffRelicHeatsinkName,buffs,Buff,,,Relic: Heatsink
buffRelicHeatsinkDesc,buffs,Buff,,,Attempts to absorb Burning debuffs when you are Burning.


modRelicBlastguard,item_modifiers,Mod,,,"Relic: Blastguard"
relicBlastguardBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nGrants +50 Explosion Resist"
buffRelicBlastguardName,buffs,Buff,,,Relic: Blastguard
buffRelicBlastguardDesc,buffs,Buff,,,Grants major value to Explosive Resist.


modRelicContainedEnergy,item_modifiers,Mod,,,"Relic: Contained Energy"
relicContainedEnergyBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nWhen hit by an enemy Shock nearby enemies.\n20 Second Cooldown."
buffRelicContainedEnergyName,buffs,Buff,,,Relic: Contained Energy
buffRelicContainedEnergyDesc,buffs,Buff,,,When hit by an enemy Shock nearby enemies.
buffRelicContainedEnergyPorcCDName,buffs,Buff,,,Relic: Contained Energy Cooldown
buffRelicContainedEnergyPorcCDDesc,buffs,Buff,,,Contained Energy has been released and is recharging.


modRelicBarracade,item_modifiers,Mod,,,"Relic: Barracade"
relicBarracadeBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nWhen hit by an enemy, gain 100% Damage Mitigation which decays over 5 seconds.\n20 Second Cooldown."
buffRelicBarracadeName,buffs,Buff,,,Relic: Barracade
buffRelicBarracadeDesc,buffs,Buff,,,When hit by an enemy, gain 100% Damage Mitigation which decays over 5 seconds.
buffRelicBarracadeProcName,buffs,Buff,,,Relic: Barracade Proc
buffRelicBarracadeProcDesc,buffs,Buff,,,100% Damage Mitigation which decays over time.
buffRelicBarracadeCDName,buffs,Buff,,,Relic: Barracade Cooldown
buffRelicBarracadeCDDesc,buffs,Buff,,,Barracade is recharging.


modRelicTimeCrunch,item_modifiers,Mod,,,"Relic: Time Crunch"
relicTimeCrunchBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nInitiating an attack, gain 30% Attack Speed and Movement Speed for 5 seconds.\n16 Second Cooldown."
buffRelicTimeCrunchName,buffs,Buff,,,Relic: Time Crunch
buffRelicTimeCrunchDesc,buffs,Buff,,,Initiating an attack grants 30% Attack Speed and Movement Speed for 5 seconds.
buffRelicTimeCrunchProcName,buffs,Buff,,,Relic: Time Crunch Proc
buffRelicTimeCrunchProcDesc,buffs,Buff,,,30% Attack Speed and Movement Speed.
buffRelicTimeCrunchCDName,buffs,Buff,,,Relic: Time Crunch Cooldown
buffRelicTimeCrunchCDDesc,buffs,Buff,,,Time Crunch is recharging.


modRelicFlashStrike,item_modifiers,Mod,,,"Relic: Flash Strike"
relicFlashStrikeBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nInitiating an attack grants 300% Movement Speed which decays over 2 seconds.\n10 Second Cooldown."
buffRelicFlashStrikeName,buffs,Buff,,,Relic: Flash Strike
