Key,File,Type,UsedInMainMenu,NoTranslate,english

modRingScorchT1,item_modifiers,Mod,,,"Ring of Scorch"
modRingScorchT2,item_modifiers,Mod,,,"Ring of Scorch"
modRingScorchT3,item_modifiers,Mod,,,"Ring of Scorch"
ringScorchT1BasicDesc,item_modifiers,Mod,,,"Sockets into Hand Armor items.\nHitting an enemy has a 45% chance to Ignite them for 5 seconds."
ringScorchT2BasicDesc,item_modifiers,Mod,,,"Sockets into Hand Armor items.\nHitting an enemy has a 60% chance to Ignite them for 5 seconds."
ringScorchT3BasicDesc,item_modifiers,Mod,,,"Sockets into Hand Armor items.\nHitting an enemy has a 75% chance to Ignite them for 5 seconds."
buffScorchName,buffs,Buff,,,Scorch
buffScorchDesc,buffs,Buff,,,You are burning.


modRingStrideT1,item_modifiers,Mod,,,"Ring of Stride"
modRingStrideT2,item_modifiers,Mod,,,"Ring of Stride"
modRingStrideT3,item_modifiers,Mod,,,"Ring of Stride"
modRingStrideT4,item_modifiers,Mod,,,"Ring of Stride"
modRingStrideT5,item_modifiers,Mod,,,"Ring of Stride"
modRingStrideT6,item_modifiers,Mod,,,"Ring of Stride"
ringStrideBasicDesc,item_modifiers,Mod,,,"Sockets into Hand Armor items.\nGrants movement speed."


modRingGreedT1,item_modifiers,Mod,,,"Ring of Greed"
modRingGreedT2,item_modifiers,Mod,,,"Ring of Greed"
modRingGreedT3,item_modifiers,Mod,,,"Ring of Greed"
ringGreedBasicDesc,item_modifiers,Mod,,,"Sockets into Hand Armor items.\nGrants Bartering bonus, duke-looting quantity bonus, and an additional quest reward."


modRingSeekerT1,item_modifiers,Mod,,,"Ring of Seeker"
modRingSeekerT2,item_modifiers,Mod,,,"Ring of Seeker"
modRingSeekerT3,item_modifiers,Mod,,,"Ring of Seeker"
modRingSeekerT4,item_modifiers,Mod,,,"Ring of Seeker"
modRingSeekerT5,item_modifiers,Mod,,,"Ring of Seeker"
modRingSeekerT6,item_modifiers,Mod,,,"Ring of Seeker"
modRingSeekerT7,item_modifiers,Mod,,,"Ring of Seeker"
modRingSeekerT8,item_modifiers,Mod,,,"Ring of Seeker"
ringSeekerBasicDesc,item_modifiers,Mod,,,"Sockets into Hand Armor items.\nGrants bonuses to Loot Stage and Treasure Radius."
ringSeekerBasicDescLooting,item_modifiers,Mod,,,"Sockets into Hand Armor items.\nGrants bonuses to Looting."
ringSeekerBasicDescLootSpeed,item_modifiers,Mod,,,"Sockets into Hand Armor items.\nGrants bonuses to Loot Speed."


modRingTwinTerrorT1,item_modifiers,Mod,,,"Ring of Twin Terror"
modRingTwinTerrorT2,item_modifiers,Mod,,,"Ring of Twin Terror"
modRingTwinTerrorT3,item_modifiers,Mod,,,"Ring of Twin Terror"
ringTwinTerrorBasicDesc,item_modifiers,Mod,,,"Sockets into Hand Armor items.\nGrants an additional Projectile to be shot with Archery, but at the cost of a damage penelty."
statAdditionalProjectilesArchery,ui_display,Item stat,,,Archery Additional Projectiles:


modRingVampiricaT1,item_modifiers,Mod,,,"Ring of Vampirica"
modRingVampiricaT2,item_modifiers,Mod,,,"Ring of Vampirica"
modRingVampiricaT3,item_modifiers,Mod,,,"Ring of Vampirica"
ringVampiricaBasicDesc,item_modifiers,Mod,,,"Sockets into Hand Armor items.\nChance to leech 1 to 3 Health on hitting an enemy with Melee or Archery."
statVampiricProcChance,ui_display,Item stat,,,Chance to leech:


modRingLaborloveT1,item_modifiers,Mod,,,"Ring of Laborlove"
modRingLaborloveT2,item_modifiers,Mod,,,"Ring of Laborlove"
modRingLaborloveT3,item_modifiers,Mod,,,"Ring of Laborlove"
modRingLaborloveT4,item_modifiers,Mod,,,"Ring of Laborlove"
modRingLaborloveT5,item_modifiers,Mod,,,"Ring of Laborlove"
modRingLaborloveT6,item_modifiers,Mod,,,"Ring of Laborlove"
ringLaborloveBasicDesc,item_modifiers,Mod,,,"Sockets into Hand Armor items.\nThis ring has 6 varients"
statAdditionalCropHarvest,ui_display,Item stat,,,Additional Crop Harvested:

modRingBrillianceT1,item_modifiers,Mod,,,"Ring of Brilliance"
modRingBrillianceT2,item_modifiers,Mod,,,"Ring of Brilliance"
